Record ID,Banding,English Language,Chinese Language,Mathematics (Core),Liberal Studies,Electives,Best 5,Remarks,Rating
1863,A3,4,3,4,4,"Chemistry
4
Economics
4",20,"Details
Scores Note","0
5"
1760,A2,3,4,4,4,"Chinese History
3
Tourism and Hospitality Studies
5",20,"Details
Scores ","1
0"
1557,A3,3,4,4,5,"Business, Accounting and Financial Studies
4
Economics
3",20,"Details
Scores ","4
0"
1442,B4,4,3,4,5*,"Chinese History
5
Geography
3",22,"Details
Scores ","0
2"
1217,B4,3,5,4,4,"Business, Accounting and Financial Studies
4
Information and Communication Technology
4",21,"Details
Scores ","3
0"
1209,A2,3,4,5,3,"Business, Accounting and Financial Studies
2
Economics
5
Mathematics Extended Modules I
3",20,"Details
Scores Note","4
0"
1196,A3,4,3,4,5,"Business, Accounting and Financial Studies
5
Economics
3",21,"Details
Scores ","1
1"
1042,B5,3,3,5*,4,"Business, Accounting and Financial Studies
4
Geography
4",21,"Details
Scores Note","3
0"
933,A3,3,3,5,4,"Business, Accounting and Financial Studies
5*
Chemistry
2",21,"Details
Scores ","1
1"
918,A1,3,4,5,3,"Business, Accounting and Financial Studies
5
Economics
4",21,"Details
Scores ","5
0"
679,A2,4,3,5,4,"Business, Accounting and Financial Studies
4
Tourism and Hospitality Studies
2",20,"Details
Scores  ","0
1"
673,A1,4,4,4,4,"Economics
4
Business, Accounting and Financial Studies
4",20,"Details
Scores ","5
0"
652,A3,4,3,4,4,"Chinese History
5
Business, Accounting and Financial Studies
4",21,"Details
Scores ","0
0"
325,A2,3,4,5,4,"Business, Accounting and Financial Studies
4
Mathematics Extended Modules I
3",20,"Details
Scores Note","1
0"
290,A3,4,4,4,4,"Business, Accounting and Financial Studies
4
Chemistry
1
Mathematics Extended Modules II
3",20,"Details
Scores ","4
0"
276,A3,3,4,4,4,"Tourism and Hospitality Studies
5
Business, Accounting and Financial Studies
3",20,"Details
Scores ","0
1"
221,A1,4,4,4,4,"Physics
4
Biology
3",20,"Details
Scores ","0
1"
141,B5,3,4,5,3,"Business, Accounting and Financial Studies
5*",21,"Details
Scores ","5
0"
