Record ID,Banding,English Language,Chinese Language,Mathematics (Core),Liberal Studies,Electives,Best 5,Remarks,Rating
1938,B5,3,3,5,3,"Biology
5
History
4",20,"Details
Scores ","1
2"
1934,A3,4,3,3,4,"History
4
Chinese History
4",19,"Details
Scores Note","0
0"
1779,A1,4,3,5,3,"Biology
3
Chemistry
4
Physics
3",19,"Details
Scores Note","3
0"
1771,A2,3,3,4,4,"Biology
4
Chemistry
3",18,"Details
Scores ","1
0"
1704,A2,4,5,4,4,"Biology
3
Chemistry
3",20,"Details
Scores Note","1
0"
1589,B4,4,3,5,3,"Physics
5
Chemistry
5
Biology
4",23,"Details
Scores ","1
5"
1581,A1,4,4,4,4,"Biology
4
Chemistry
4
Economics
3",20,"Details
Scores ","1
0"
1562,A2,4,5,4,4,"Biology
4
Physics
5",22,"Details
Scores ","1
0"
1559,A3,5,4,4,4,"Physics
5
Biology
4
Chemistry
3",22,"Details
Scores ","3
0"
1393,B4,4,4,3,5,"Biology
2
Music
3",19,"Details
Scores ","0
1"
1230,A1,4,3,5,4,"Biology
4
Chemistry
3",20,"Details
Scores Note","1
0"
1133,A2,4,4,4,4,"Biology
4
Business, Accounting and Financial Studies
4",20,"Details
Scores Note","0
0"
1048,B4,3,3,4,4,"Chemistry
4
Biology
4
Tourism and Hospitality Studies
4",20,"Details
Scores Note","3
0"
992,A2,3,4,4,3,"Economics
5",19,"Details
Scores Note","4
0"
959,A3,3,4,4,4,"Economics
4
Science: Combined Science
4",20,"Details
Scores  ","2
0"
919,A1,4,4,4,4,"Geography
4
Economics
3
Music
3",20,"Details
Scores Note","2
0"
682,A3,4,3,4,4,"Chemistry
3
History
3",18,"Details
Scores Note","2
0"
326,A2,4,3,4,4,"Biology
4
Chemistry
3",19,"Details
Scores ","2
0"
284,A2,3,4,4,4,"Biology
4
Chemistry
4",20,"Details
Scores ","1
0"
186,A1,3,5,3,4,"Biology
4
Economics
4",20,"Details
Scores Note","2
0"
73,A2,3,5,3,5,"Visual Arts
5",21,"Details
Scores Note","6
0"
27,B4,3,3,5,3,"Chemistry
5
Economics
4",20,"Details
Scores Note","1
0"
