Record ID,Banding,English Language,Chinese Language,Mathematics (Core),Liberal Studies,Electives,Best 5,Remarks,Rating
2020,A3,4,3,4,4,"History
4
Economics
4",20,"Details
Scores Note","1
0"
1664,A1,3,3,3,4,"Biology
5*
Chemistry
3
Mathematics Extended Modules II
1",19,"Details
Scores Note","0
1"
1642,A3,4,4,4,4,"Biology
5
Chemistry
5
Physics
5",23,"Details
Scores ","0
1"
1635,A2,4,4,4,4,"Biology
4
Chemistry
4",20,"Details
Scores Note","0
0"
1616,A2,4,4,5,4,"Biology
4
Chemistry
3
Mathematics Extended Modules II
4",21,"Details
Scores Note","0
0"
1453,A2,4,5,3,5,"Biology
4
Business, Accounting and Financial Studies
4",22,"Details
Scores ","0
2"
1372,A1,4,4,4,3,"Economics
5
Business, Accounting and Financial Studies
4",21,"Details
Scores Note","0
2"
1354,A3,3,4,4,5,"Biology
4
Economics
5",22,"Details
Scores Note","0
2"
1313,A3,4,4,4,4,"Biology
4
Chemistry
3
Geography
3",20,"Details
Scores ","0
2"
1280,A1,3,3,4,5,"Biology
4
Geography
4
Economics
4",21,"Details
Scores Note","1
1"
875,A2,4,4,4,3,"Biology
4
Chemistry
4
Mathematics Extended Modules I
4",20,"Details
Scores ","0
1"
416,A2,5,4,3,5,"Biology
3
Chemistry
3",20,"Details
Scores Note","0
0"
410,A2,5,3,3,4,"History
5*
Biology
4",22,"Details
Scores Note","0
1"
382,A2,3,4,4,4,"Chemistry
5
Economics
3",20,"Details
Scores Note","0
0"
318,A1,3,3,5,4,"Biology
4
Chemistry
4",20,"Details
Scores Note","0
0"
271,A3,4,5,4,4,"Biology
4
Chemistry
4
Physics
4
Mathematics Extended Modules II
5",22,"Details
Scores Note","0
2"
