Record ID,Banding,English Language,Chinese Language,Mathematics (Core),Liberal Studies,Electives,Best 5,Remarks,Rating
3435,A1,5*,4,5*,5,"Biology
5
Business, Accounting and Financial Studies
5
Chemistry
5
Mathematics Extended Modules I
4",27,"Details
Scores ",17
3219,A1,5,5,4,5*,"Biology
4
Business, Accounting and Financial Studies
5*
Economics
4",26,"Details
Scores ",6
3213,A1,5,5*,4,5,"Business, Accounting and Financial Studies
5*
Economics
5*
Biology
3",28,"Details
Scores ",0
3208,A1,4,4,5*,4,"Economics
5*
Physics
5
Science: Combined Science
4",25,"Details
Scores ",7
3202,A1,5,5**,4,5**,"Biology
4
Chemistry
3
Economics
5",28,"Details
Scores ",0
3178,A1,5*,5*,4,5,"Chemistry
4
Economics
5
Physics
5
Mathematics Extended Modules I
3",27,"Details
Scores ",2
2997,A1,5,4,4,4,"Economics
5**
Chemistry
4",24,"Details
Scores ",3
2967,A1,5,4,5**,4,"Mathematics Extended Modules II
5*
Physics
5
Economics
4
Information and Communication Technology
4",27,"Details
Scores ",1
2953,A1,4,5,5*,3,"Business, Accounting and Financial Studies
5*
Chemistry
5
Economics
5
Mathematics Extended Modules II
5",27,"Details
Scores ",0
2885,A1,4,5*,5*,5,"Business, Accounting and Financial Studies
5*
Economics
5",28,"Details
Scores ",5
2729,A1,5*,5*,4,4,"Business, Accounting and Financial Studies
3
Economics
5
Geography
5*
Mathematics Extended Modules I
4",27,"Details
Scores ",1
2687,A1,5,4,5*,5,"Chemistry
5*
Physics
5
Mathematics Extended Modules II
5*",28,"Details
Scores ",3
2651,A1,5,5**,4,5*,"Biology
5
Chemistry
4
Economics
4
Mathematics Extended Modules I
3",27,"Details
Scores ",1
2619,A2,5,3,5,5,"Biology
4
Chemistry
4
Economics
5*
Mathematics Extended Modules I
4",25,"Details
Scores ",0
2478,A1,5,5,5,5*,"Business, Accounting and Financial Studies
5**
Economics
5
Mathematics Extended Modules I
5",28,"Details
Scores ",4
2393,A1,5*,3,5**,4,"Economics
5*
Business, Accounting and Financial Studies
5*
Mathematics Extended Modules I
5",30,"Details
Scores ",2
2366,A1,5,5,4,5*,"Information and Communication Technology
5
Physics
3
Mathematics Extended Modules II
3",25,"Details
Scores ",1
2352,A1,4,4,5,4,"Economics
5*
Physics
5*
Science: Combined Science
5
Mathematics Extended Modules II
4",26,"Details
Scores ",1
2336,A1,5,4,5,4,"Business, Accounting and Financial Studies
5*
Chinese History
4
Economics
5",25,"Details
Scores ",3
2239,A1,4,4,5*,4,"Business, Accounting and Financial Studies
5
Economics
5
Mathematics Extended Modules I
5
Physics
4",25,"Details
Scores ",2
2174,A1,5,5,5,4,"Business, Accounting and Financial Studies
5**
Economics
5
Geography
5*",28,"Details
Scores ",3
2122,A1,4,5*,4,5*,"Economics
4
Biology
4
Mathematics Extended Modules II
2",24,"Details
Scores Note",9
2097,A1,5,4,5*,4,"Economics
5**
Physics
5
Chemistry
4
Mathematics Extended Modules II
4",27,"Details
Scores ",10
2032,A2,5,4,5,5,"Business, Accounting and Financial Studies
5*
Chemistry
5
Mathematics Extended Modules II
4",26,"Details
Scores ",0
2031,A1,4,4,5*,5,"Biology
5*
Physics
5
Chemistry
4",26,"Details
Scores ",0
2009,A1,4,5*,5*,4,"Business, Accounting and Financial Studies
5*
Mathematics Extended Modules I
5*
Chemistry
5
Physics
5",29,"Details
Scores ",2
1876,A1,4,5,5*,5*,"Business, Accounting and Financial Studies
5*
Economics
5**
History
5*",31,"Details
Scores ",2
1802,A2,5,4,5,4,"Chemistry
5
Physics
5
Economics
5
Mathematics Extended Modules II
2",25,"Details
Scores ",0
1671,A1,4,5*,4,5*,"Economics
5",25,"Details
Scores ",13
1612,A1,5,5*,5,5*,"Business, Accounting and Financial Studies
5*
Economics
5
Geography
5",28,"Details
Scores ",0
1582,A1,4,3,5*,4,"Chemistry
5
Economics
5*
Physics
5
Mathematics Extended Modules I
5*",28,"Details
Scores ",9
1577,A1,4,5*,4,5,"Business, Accounting and Financial Studies
5
Economics
5*
Information and Communication Technology
5",27,"Details
Scores ",6
1406,A1,5,5*,5,4,"Economics
5**
Business, Accounting and Financial Studies
5",28,"Details
Scores ",0
1396,A2,5*,5*,4,5**,"Business, Accounting and Financial Studies
5
Geography
5*",30,"Details
Scores ",2
1320,A1,5,4,5,5*,"Business, Accounting and Financial Studies
5
Economics
5**",28,"Details
Scores  ",2
1155,A1,5*,5*,5,5*,"Biology
5
Chemistry
5
Mathematics Extended Modules II
4",28,"Details
Scores ",0
1126,A1,5,5*,5,5,"Business, Accounting and Financial Studies
5
Economics
5
Geography
4",26,"Details
Scores ",2
1076,A3,5*,5**,5,5,"Economics
5
Chemistry
5",28,"Details
Scores ",2
1065,A1,5*,4,5,5,"Chemistry
4
Economics
4
Mathematics Extended Modules II
5
Physics
4",25,"Details
Scores ",3
1043,A2,5,5*,4,5*,"Business, Accounting and Financial Studies
5
Geography
5
History
3",27,"Details
Scores ",0
988,A1,5,4,5**,4,"Biology
5
Chemistry
5
Mathematics Extended Modules I
5*",28,"Details
Scores ",0
974,A2,4,5,5**,5*,"Chemistry
5
Physics
5
Information and Communication Technology
5
Mathematics Extended Modules I
4",28,"Details
Scores ",0
939,A1,5,4,5,5*,"Geography
5*
Economics
5",27,"Details
Scores ",1
908,A1,5,4,5,5,"Business, Accounting and Financial Studies
5**
Economics
5
History
5",27,"Details
Scores ",0
900,A1,5*,5,4,4,"Business, Accounting and Financial Studies
5*
Economics
5
Biology
4
Mathematics Extended Modules I
4",26,"Details
Scores ",1
867,A1,5*,5**,5,5*,"Economics
5**
Business, Accounting and Financial Studies
5**
Chinese Literature
4",33,"Details
Scores ",18
785,A1,5,4,4,5,"Economics
5**
Geography
5
Business, Accounting and Financial Studies
4",26,"Details
Scores Note",3
726,A1,3,5,5,5,"Business, Accounting and Financial Studies
5*
Chinese History
5*
Economics
4",27,"Details
Scores ",4
