university,subject,subject_num,year,rank,band_a_appl,band_a_offer,band_b_appl,band_b_offer,band_c_appl,band_c_offer,band_d_appl,band_d_offer,band_e_appl,band_e_offer,total_appl,total_offer,atu_offer,high_adm_scr,low_adm_scr,max,min,average
polyu,cs,JS3868,2017,3,950,76,559,2,579,0,556,0,433,0,3077,78,10,,,21,20,20.5
polyu,cs,JS3868,2016,3,566,65,436,6,512,1,549,2,379,1,2442,75,26,,,25,19,21.9
polyu,cs,JS3868,2015,3,694,69,492,4,569,2,616,1,471,0,2842,76,19,,,25,20,21.8
polyu,cs,JS3868,2014,1,776,67,544,7,630,2,813,0,606,0,3369,76,22,,,31,20,22.6
polyu,cs,JS3868,2013,3,1046,63,816,1,1049,3,119,0,874,0,4984,67,21,,,26,21,23.1
polyu,cs,JS3868,2012,3,489,73,503,3,674,2,976,2,791,2,3433,82,24,,,23,19,20.5
polyu,business,JS3131,2017,3,583,65,713,4,1223,2,1601,0,1109,0,5229,71,12,,,23,20,22
polyu,business,JS3131,2016,3,925,70,1101,1,1804,0,2260,0,1419,0,7509,71,12,,,24,22,23
polyu,business,JS3131,2015,3,968,67,1426,0,2470,0,3071,0,2005,0,9940,67,13,,,30,22,23.2
polyu,business,JS3131,2014,3,1149,69,1530,0,2658,1,3424,0,2252,0,11013,70,13,,,26,22,23.2
polyu,business,JS3131,2013,3,1067,66,1591,1,2710,0,3769,0,2735,0,11872,67,17,,,26,22,22.9
polyu,business,JS3131,2012,3,731,64,1287,7,2377,3,3880,0,2900,0,11175,74,16,,,27,21,23.1
polyu,nursing,JS3648,2017,3,1452,157,1043,0,1391,1,1446,0,980,0,6312,158,34,,,27,23,24.8
polyu,nursing,JS3648,2016,3,1691,157,1236,0,1526,0,1500,0,1183,1,7136,158,43,,,26,22,24.1
polyu,nursing,JS3648,2015,3,2008,146,1459,1,1919,3,2161,0,1540,0,9087,150,43,,,30,22,24.3
polyu,nursing,JS3648,2014,3,2339,154,1489,0,2124,0,2372,1,1775,1,10099,156,35,,,29,22,23.9
polyu,nursing,JS3648,2013,3,2549,154,1603,1,2182,0,2527,1,1888,0,10749,156,33,,,27,22,24
polyu,nursing,JS3648,2012,3,2138,168,1371,5,2207,0,2825,0,2124,0,10665,173,44,,,26,21,22.7
bu,science,JS2510,2017,4,1491,154,1609,8,1676,1,1773,0,1365,0,7914,163,12,,,22,19,20.6
bu,science,JS2510,2016,4,1361,145,1649,24,1899,8,2100,8,1595,2,8604,187,19,,,22,19,21.1
bu,science,JS2510,2015,4,2101,177,2216,18,2437,3,2784,4,2076,0,11614,202,25,,,23,21,21.8
bu,science,JS2510,2014,4,2282,153,2570,21,3089,5,3422,4,2530,1,13893,184,29,,,23,21,21.8
bu,science,JS2510,2013,4,2272,119,2630,41,3106,14,3981,7,2966,1,14955,182,41,,,25,21,22.1
bu,science,JS2510,2012,4,2499,141,2621,34,2607,7,3117,8,2409,4,13253,194,38,,,23,20,21.3
hku,engineering,JS6963,2017,1,1090,365,611,0,782,0,826,0,682,0,3991,365,57,,,33,22,25.8
hku,engineering,JS6963,2016,1,1194,359,561,0,786,0,873,1,785,0,4199,360,51,,28,32,22,26.1
hku,engineering,JS6963,2015,1,1057,356,545,0,730,0,887,0,870,0,4089,356,69,,22,32,22,26.6
hku,engineering,JS6963,2014,2,1021,318,559,2,744,0,860,0,990,0,4174,320,60,,22,33,23,27
hku,engineering,JS6963,2013,1,703,257,455,0,674,2,878,2,1025,0,3735,261,60,,23,32,24,27.7
hku,engineering,JS6963,2012,1,1107,201,679,3,853,0,1096,0,1103,0,4838,204,52,33,24,33,24,26.8
hku,science,JS6901,2017,1,1086,313,1083,7,1208,0,1334,0,1045,0,5756,320,40,,,32,22,24.5
hku,science,JS6901,2016,1,1037,318,894,5,1194,0,1386,0,1183,0,5694,323,44,,22,34,22,25.6
hku,science,JS6901,2015,1,1181,318,1065,0,1140,0,1392,0,1259,0,6037,318,52,,23,30,23,25.6
hku,science,JS6901,2014,2,1062,326,971,9,1083,0,1485,0,1368,0,5969,335,41,,23,31,23,26.1
hku,science,JS6901,2013,1,1139,338,859,7,933,0,1221,0,1285,0,5437,345,53,,23,33,23,27.4
hku,science,JS6901,2012,1,1170,340,747,5,1053,0,1452,0,1606,0,6028,345,72,30,20,33,24,27.3
hku,bba,JS6781,2017,1,375,137,283,0,455,0,585,0,559,0,2257,137,14,,,28,25,26.7
hku,bba,JS6781,2016,1,420,164,266,0,483,0,643,0,682,0,2494,164,39,,25,34,25,28
hku,bba,JS6781,2015,1,524,160,315,0,523,0,806,0,884,0,3052,160,29,,26,34,24,28.3
