,programme,preferred,4 Core + Best 2 Elective Subjects,Any Best 5 Subjects,Any Best 6 Subjects,Chinese & English Languages + Any Best 3 Subjects,English Language,Mathematics,Chinese Language,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Physics,Information and Communication Technology,,Business, Accounting and Ficial Studies, Accounting and Ficial Studies (Accounting), Accounting and Ficial Studies (Business Management),Economics,Liberal Studies,Design and Applied Technology,Visual Arts,Film and Video / Film and Video Studies,Image Design,Innovative Product Design,Interior Design,Multimedia Entertainment Studies
0,JS3911,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,JS3466,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,JS3923,"Chinese Language,English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,JS3014,"Chinese Language,English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,JS3002,"Chinese Language,English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JS3507,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JS3600,"Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,JS3791,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Physics,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,JS3026,"Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Physics,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,JS3753,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Physics,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
