,jup_cat_no,year,band_A_App,band_B_App,band_C_App,band_D_App,band_E_App,band_Total_App,band_A_Offer,band_B_Offer,band_C_Offer,band_D_Offer,band_E_Offer,band_Total_Offer,college,fee,website,funding,program_name,duration,interview_flag,first_year_intake,program_short_name,English Language mean,English Language std,English Language min,English Language 25%,English Language 50%,English Language 75%,English Language max,Chinese Language mean,Chinese Language std,Chinese Language min,Chinese Language 25%,Chinese Language 50%,Chinese Language 75%,Chinese Language max,Mathematics (Core) mean,Mathematics (Core) std,Mathematics (Core) min,Mathematics (Core) 25%,Mathematics (Core) 50%,Mathematics (Core) 75%,Mathematics (Core) max,Liberal Studies mean,Liberal Studies std,Liberal Studies min,Liberal Studies 25%,Liberal Studies 50%,Liberal Studies 75%,Liberal Studies max,Best 5 mean,Best 5 std,Best 5 min,Best 5 25%,Best 5 50%,Best 5 75%,Best 5 max
0,JS1000,2017,121,191,276,325,317,1230,7,1,0,0,0,8,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1000, UGC-funded,理學士(計算金融學) ,4, Yes (on a selective basis),10,BSc Computational Finance,4,1.224744871,3,3,4,4,6,3.8,0.447213595,3,4,4,4,4,6,1,5,5,6,7,7,3.2,0.836660027,2,3,3,4,4,26.6,2.50998008,23,26,27,27,30
1,JS1000,2016,142,192,308,466,388,1496,11,0,0,0,0,11,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1000, UGC-funded,理學士(計算金融學) ,4, Yes (on a selective basis),10,BSc Computational Finance,3,,3,3,3,3,3,3,,3,3,3,3,3,6,,6,6,6,6,6,4,,4,4,4,4,4,23,,23,23,23,23,23
2,JS1041,2017,1359,998,1251,1332,1005,5945,96,0,0,0,0,96,City University of Hong Kong,42100,http://www.admo.cityu.edu.hk/programme/JS1041, UGC-funded,創意媒體學院 [選項: 文學士(創意媒體)、理學士(創意媒體)、文理學士(新媒體)] ,4, No,30,"School of Creative Media (options: BA Creative Media, BSc Creative Media, BAS New Media)",4.222222222,0.971825316,3,4,4,5,6,4.111111111,0.927960727,3,4,4,4,6,4,1.118033989,2,3,4,5,5,3.555555556,0.881917104,2,3,4,4,5,21.22222222,2.223610677,18,20,21,22,26
3,JS1041,2016,1579,1122,1486,1711,1295,7193,98,0,0,0,0,98,City University of Hong Kong,42100,http://www.admo.cityu.edu.hk/programme/JS1041, UGC-funded,創意媒體學院 [選項: 文學士(創意媒體)、理學士(創意媒體)、文理學士(新媒體)] ,4, No,30,"School of Creative Media (options: BA Creative Media, BSc Creative Media, BAS New Media)",3.857142857,0.377964473,3,4,4,4,4,3.857142857,0.377964473,3,4,4,4,4,4.285714286,0.755928946,3,4,4,5,5,3.857142857,0.377964473,3,4,4,4,4,20.71428571,1.97604704,18,19.5,21,21.5,24
4,JS1041,2015,2582,1751,2282,2624,2022,11261,106,0,0,0,0,106,City University of Hong Kong,42100,http://www.admo.cityu.edu.hk/programme/JS1041, UGC-funded,創意媒體學院 [選項: 文學士(創意媒體)、理學士(創意媒體)、文理學士(新媒體)] ,4, No,30,"School of Creative Media (options: BA Creative Media, BSc Creative Media, BAS New Media)",4.076923077,0.759554525,3,4,4,5,5,4.153846154,1.14354375,3,4,4,4,7,4,0.816496581,3,4,4,4,6,3.846153846,0.688737232,3,3,4,4,5,21.53846154,2.183856856,18,21,21,22,27
5,JS1041,2014,2460,1710,2228,2602,2196,11196,101,0,0,0,0,101,City University of Hong Kong,42100,http://www.admo.cityu.edu.hk/programme/JS1041, UGC-funded,創意媒體學院 [選項: 文學士(創意媒體)、理學士(創意媒體)、文理學士(新媒體)] ,4, No,30,"School of Creative Media (options: BA Creative Media, BSc Creative Media, BAS New Media)",4.142857143,1.062342425,3,3,4,5,6,3.80952381,0.679635757,3,3,4,4,5,3.476190476,1.167006753,2,3,3,4,6,3.952380952,0.864649668,2,4,4,4,6,20.19047619,2.50237982,16,18,21,22,24
6,JS1041,2013,2753,2090,2668,3063,2561,13135,102,0,0,0,0,102,City University of Hong Kong,42100,http://www.admo.cityu.edu.hk/programme/JS1041, UGC-funded,創意媒體學院 [選項: 文學士(創意媒體)、理學士(創意媒體)、文理學士(新媒體)] ,4, No,30,"School of Creative Media (options: BA Creative Media, BSc Creative Media, BAS New Media)",4.434782609,1.160959124,3,3.5,4,5.5,6,4.217391304,1.166054799,3,3,4,5,7,4.086956522,0.596432079,3,4,4,4,5,4.217391304,0.902346524,3,4,4,4,7,22.65217391,3.156648045,18,21,22,23,31
7,JS1041,2012,1654,1690,2695,3428,2817,12284,106,10,0,0,0,116,City University of Hong Kong,42100,http://www.admo.cityu.edu.hk/programme/JS1041, UGC-funded,創意媒體學院 [選項: 文學士(創意媒體)、理學士(創意媒體)、文理學士(新媒體)] ,4, No,30,"School of Creative Media (options: BA Creative Media, BSc Creative Media, BAS New Media)",3.882352941,0.696630546,3,3,4,4,5,3.823529412,0.727606875,3,3,4,4,5,3.647058824,0.606339063,3,3,4,4,5,4,0.5,3,4,4,4,5,20.35294118,1.411611511,19,19,20,21,24
8,JS1007,2017,950,1006,1530,1696,1163,6345,67,1,1,0,0,69,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1007, UGC-funded,工商管理學士(市場營銷) ,4, Yes (on a selective basis),84,BBA Marketing,5.133333333,0.915475416,4,5,5,5,7,3.866666667,0.516397779,3,4,4,4,5,4.8,0.941123948,4,4,5,5,7,4.066666667,0.703731551,3,4,4,4,6,23.53333333,1.767430203,21,22,24,25,26
9,JS1007,2016,939,1060,1579,2064,1420,7062,66,1,1,0,0,68,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1007, UGC-funded,工商管理學士(市場營銷) ,4, Yes (on a selective basis),84,BBA Marketing,4.7,0.948683298,3,4,5,5,6,4,1.247219129,3,3,4,4,7,4.1,0.994428926,3,3.25,4,4.75,6,4.5,0.849836586,3,4,4.5,5,6,24,2.98142397,22,22.25,23,24,32
10,JS1006,2017,553,557,731,872,662,3375,71,1,0,0,0,72,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1006, UGC-funded,管理科學系 [選項: 工商管理學士(商業分析)、工商管理學士(商業營運管理)] ,4, Yes (on a selective basis),82,"Department of Management Sciences (options: BBA Business Analysis, BBA Business Operations Management)",4.565217391,0.945135246,3,4,4,5,6,4.130434783,0.625543242,3,4,4,4.5,5,4.565217391,0.662370876,4,4,4,5,6,4.130434783,0.694415898,3,4,4,4,6,23.2173913,2.467175819,20,21,23,26,27
11,JS1006,2016,399,494,720,1064,847,3524,59,7,1,2,0,69,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1006, UGC-funded,管理科學系 [選項: 工商管理學士(商業分析)、工商管理學士(商業營運管理)] ,4, Yes (on a selective basis),82,"Department of Management Sciences (options: BBA Business Analysis, BBA Business Operations Management)",4.083333333,0.514928651,3,4,4,4,5,3.666666667,0.492365964,3,3,4,4,4,4.666666667,0.651338947,4,4,5,5,6,4,0.738548946,3,4,4,4,6,21.5,0.674199862,20,21,22,22,22
12,JS1005,2017,724,1011,1673,1847,1270,6525,57,2,1,0,0,60,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1005, UGC-funded,工商管理學士(管理學) ,4, Yes (on a selective basis),71,BBA Management,4.5,0.854850414,3,4,4,5,6,4.142857143,0.662993544,3,4,4,4,6,4.714285714,0.913873533,3,4,5,5,6,4.642857143,0.928782732,3,4,5,5,7,23.92857143,1.979288361,21,22.25,24,25.75,27
13,JS1005,2016,727,1061,1671,2181,1363,7003,57,1,2,1,0,61,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1005, UGC-funded,工商管理學士(管理學) ,4, Yes (on a selective basis),71,BBA Management,4.25,0.46291005,4,4,4,4.25,5,3.875,0.640869944,3,3.75,4,4,5,4.5,0.755928946,3,4,5,5,5,4.25,0.46291005,4,4,4,4.25,5,21.75,0.707106781,21,21,22,22,23
14,JS1004,2017,769,527,582,708,512,3098,83,1,0,0,0,84,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1004, UGC-funded,資訊系統學系 [選項: 工商管理學士(環球商業系統管理)、工商管理學士(資訊管理)] ,4, Yes (on a selective basis),99,"Department of Information Systems (options: BBA Global Business Systems Management, BBA Information Management)",4.347826087,0.831684799,3,4,4,5,6,4.260869565,0.810016347,3,4,4,5,6,4.347826087,0.714059817,3,4,4,5,6,4.260869565,0.688700443,3,4,4,4,6,23.39130435,1.827545061,21,22,23,25,26
15,JS1004,2016,545,425,606,783,588,2947,77,4,3,1,0,85,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1004, UGC-funded,資訊系統學系 [選項: 工商管理學士(環球商業系統管理)、工商管理學士(資訊管理)] ,4, Yes (on a selective basis),99,"Department of Information Systems (options: BBA Global Business Systems Management, BBA Information Management)",4,0.471404521,3,4,4,4,5,3.631578947,0.59726472,3,3,4,4,5,4.526315789,0.61177529,4,4,4,5,6,4.157894737,0.688247202,3,4,4,4,6,21.57894737,0.837707817,21,21,21,22,24
16,JS1003,2017,770,822,1065,1279,859,4795,135,4,1,0,0,140,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1003, UGC-funded,經濟及金融系 [選項: 工商管理學士(商業經濟)、工商管理學士(金融)] ,4, Yes (on a selective basis),160,"Department of Economics and Finance (options: BBA Business Economics, BBA Finance)",4.515151515,0.972150069,3,4,4,5,7,4.272727273,0.674199862,3,4,4,5,6,4.939393939,0.899284227,4,4,5,6,7,4.151515152,0.667139983,3,4,4,5,5,23.87878788,2.011802298,20,23,24,25,27
17,JS1003,2016,1013,989,1411,1626,1141,6180,140,3,0,0,0,143,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1003, UGC-funded,經濟及金融系 [選項: 工商管理學士(商業經濟)、工商管理學士(金融)] ,4, Yes (on a selective basis),160,"Department of Economics and Finance (options: BBA Business Economics, BBA Finance)",4.08,0.571547607,3,4,4,4,5,3.92,0.640312424,3,4,4,4,5,4.36,0.56862407,3,4,4,5,5,4.16,0.553774924,3,4,4,4,6,22.16,0.850490055,21,22,22,23,24
18,JS1002,2017,952,791,986,1075,778,4582,112,3,1,0,0,116,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1002, UGC-funded,工商管理學士(會計) ,4, Yes (on a selective basis),142,BBA Accountancy,4.32,1.069267662,3,3,4,5,6,4.08,0.86216781,3,4,4,4,7,4.92,0.86216781,4,4,5,5,7,4,0.645497224,3,4,4,4,5,23.6,1.936491673,21,22,24,25,27
19,JS1002,2016,1164,917,1116,1265,901,5363,120,2,1,0,0,123,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1002, UGC-funded,工商管理學士(會計) ,4, Yes (on a selective basis),142,BBA Accountancy,3.722222222,0.669113158,3,3,4,4,5,3.888888889,0.582983088,3,4,4,4,5,4.277777778,0.669113158,3,4,4,4.75,6,4.333333333,0.685994341,3,4,4,5,6,22.72222222,0.669113158,22,22,23,23,24
20,JS1001,2017,210,388,528,725,658,2509,11,2,0,0,0,13,City University of Hong Kong,42100,http://www.cb.cityu.edu.hk/js1001, UGC-funded,工商管理學士(環球商業) ,4, Yes (on a selective basis),15,BBA Global Business,5,1.264911064,4,4,4.5,5.75,7,4.833333333,0.752772653,4,4.25,5,5,6,5.166666667,0.752772653,4,5,5,5.75,6,5,1.095445115,4,4,5,6,6,26.66666667,1.366260102,25,26,26.5,27,29
